Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Transaction Day,Transaction DOW,Transaction Month,Is Address Match
3870.91,Credit Card,Clothing,4,22,Mobile,0,363,17,22,Monday,5,1
2197.2,PayPal,Groceries,3,67,Desktop,0,1375,21,4,Saturday,3,1
4293.7,Credit Card,Sports,1,45,Tablet,0,176,13,6,Monday,10,1
3488.35,PayPal,Electronics,4,69,Desktop,0,1513,9,5,Saturday,9,1
475.42,PayPal,Electronics,4,39,Mobile,0,62,0,22,Monday,4,1
4878.23,Credit Card,Clothing,1,61,Tablet,0,627,14,19,Sunday,3,1
3806.89,Debit Card,Home,1,35,Mobile,0,520,21,28,Tuesday,11,1
3931.39,Credit Card,Beauty,1,41,Mobile,0,332,3,22,Sunday,6,1
644.93,PayPal,Home,4,36,Desktop,0,1069,5,27,Thursday,8,1
2254.68,Debit Card,Groceries,3,46,Mobile,0,447,12,23,Thursday,8,1
1857.14,Debit Card,Sports,3,29,Desktop,0,309,12,19,Thursday,9,1
4634.19,Credit Card,Clothing,2,44,Desktop,0,790,10,16,Saturday,12,1
3221.11,Debit Card,Sports,2,61,Tablet,0,997,3,5,Tuesday,9,1
4114.69,Debit Card,Clothing,3,26,Mobile,0,1267,11,19,Thursday,1,1
2219.85,Credit Card,Clothing,1,59,Mobile,0,179,12,16,Tuesday,5,0
1140.06,COD,Sports,3,62,Tablet,0,383,4,30,Saturday,3,1
2775.15,Debit Card,Home,1,19,Tablet,0,109,14,28,Sunday,3,1
323.77,Credit Card,Groceries,4,53,Desktop,0,1584,20,11,Thursday,3,1
4139.02,PayPal,Clothing,1,43,Tablet,0,1122,2,6,Friday,11,0
3160.16,Debit Card,Groceries,1,51,Tablet,0,505,1,7,Saturday,11,1
3791.65,Debit Card,Beauty,2,33,Desktop,0,1068,13,15,Wednesday,3,1
1775.86,PayPal,Electronics,2,29,Tablet,0,1621,18,30,Tuesday,7,1
4853.64,Credit Card,Clothing,3,32,Desktop,0,1524,2,26,Sunday,6,0
4466.14,PayPal,Clothing,4,25,Desktop,0,1848,22,28,Friday,10,1
3893.03,Credit Card,Groceries,3,39,Desktop,0,468,11,7,Monday,11,1
977.22,Credit Card,Beauty,2,63,Tablet,0,336,2,1,Friday,6,1
2336.27,Credit Card,Clothing,3,58,Mobile,0,1530,10,21,Thursday,6,1
223.8,Credit Card,Beauty,3,27,Mobile,1,1836,10,13,Tuesday,6,1
775.68,Debit Card,Sports,1,47,Desktop,0,358,9,14,Saturday,6,1
3416.83,COD,Groceries,1,21,Desktop,0,1413,14,23,Friday,12,1
3725.09,COD,Sports,1,21,Mobile,0,1153,5,30,Thursday,2,1
4837.71,Credit Card,Sports,1,50,Desktop,0,1775,23,6,Wednesday,2,1
1632.5,COD,Beauty,4,33,Mobile,0,393,6,19,Tuesday,5,1
1855.45,PayPal,Groceries,2,54,Mobile,0,700,20,1,Friday,5,1
2350.43,PayPal,Clothing,2,26,Desktop,0,1245,19,16,Saturday,6,0
951.41,COD,Sports,2,24,Mobile,0,1728,9,2,Friday,12,0
653.96,Debit Card,Groceries,2,55,Desktop,0,1652,4,25,Monday,8,1
2381.15,Debit Card,Electronics,3,28,Desktop,0,958,23,17,Friday,4,1
1138.41,PayPal,Beauty,1,21,Desktop,0,746,13,8,Thursday,4,1
3350.72,PayPal,Groceries,3,59,Desktop,0,387,7,7,Friday,2,1
2188.57,PayPal,Sports,4,54,Tablet,0,809,3,20,Wednesday,1,1
4164.23,Credit Card,Sports,4,66,Desktop,0,1993,8,8,Wednesday,4,1
3502.82,COD,Electronics,2,49,Desktop,1,462,15,12,Thursday,9,1
1565.27,Debit Card,Sports,4,42,Mobile,0,1896,12,1,Friday,11,1
4162.14,COD,Sports,1,52,Tablet,0,566,1,11,Saturday,9,0
4024.8,Debit Card,Beauty,1,59,Mobile,1,258,18,22,Sunday,12,1
1940.45,Credit Card,Clothing,2,50,Mobile,0,1437,7,2,Tuesday,3,0
1445.2,COD,Beauty,1,34,Tablet,0,917,4,26,Monday,8,0
3414.07,PayPal,Sports,2,64,Mobile,0,1465,16,9,Saturday,10,1
703.06,Credit Card,Beauty,4,54,Mobile,0,1972,17,23,Saturday,12,1
1003.54,Credit Card,Groceries,4,63,Mobile,0,304,19,5,Tuesday,4,1
41.77,Credit Card,Beauty,2,46,Tablet,0,1101,0,5,Monday,3,1
3935.69,Credit Card,Groceries,2,41,Tablet,0,539,9,27,Monday,12,1
3325.93,COD,Clothing,2,61,Tablet,0,999,6,29,Thursday,8,1
3527.3,Credit Card,Beauty,1,49,Mobile,0,520,13,9,Tuesday,10,1
3904.74,Credit Card,Groceries,1,58,Desktop,0,398,23,29,Tuesday,8,1
2297.28,COD,Clothing,4,64,Tablet,0,1042,2,25,Saturday,2,1
2845.86,COD,Home,3,32,Desktop,0,844,15,8,Saturday,2,0
703.29,Credit Card,Clothing,3,28,Mobile,0,1535,10,25,Thursday,4,1
577.08,PayPal,Home,2,25,Tablet,0,1001,11,30,Monday,8,1
3343.67,PayPal,Groceries,4,49,Mobile,0,1210,22,10,Monday,12,1
2358.13,PayPal,Sports,1,59,Tablet,0,1430,17,14,Friday,7,1
2828.35,Debit Card,Sports,4,68,Desktop,0,118,2,9,Wednesday,7,0
3826.17,COD,Groceries,3,19,Tablet,1,905,10,2,Wednesday,10,1
3175.42,COD,Beauty,2,18,Desktop,0,1053,17,29,Saturday,9,1
2770.13,PayPal,Clothing,4,53,Tablet,0,1273,2,18,Tuesday,10,1
2798.24,COD,Sports,2,32,Tablet,0,89,12,6,Sunday,4,1
1523.23,Credit Card,Clothing,2,42,Desktop,0,212,11,16,Sunday,3,0
158.94,PayPal,Sports,3,22,Mobile,0,1699,1,24,Friday,9,1
2186.4,COD,Sports,3,21,Mobile,0,1529,22,26,Wednesday,2,1
1076.85,PayPal,Clothing,3,45,Tablet,0,847,8,24,Sunday,10,1
2045.6,COD,Electronics,2,53,Tablet,1,16,6,11,Tuesday,12,1
4267.75,Debit Card,Beauty,2,64,Desktop,0,525,2,28,Sunday,8,1
1173.53,COD,Sports,2,43,Mobile,0,1287,1,23,Thursday,9,0
296.22,COD,Beauty,4,51,Tablet,0,1364,4,14,Sunday,7,1
1410.51,PayPal,Electronics,2,62,Desktop,0,1654,17,24,Wednesday,5,1
1471.5,PayPal,Home,4,40,Mobile,0,1109,6,30,Saturday,3,1
3311.27,PayPal,Groceries,1,28,Desktop,0,1535,10,2,Saturday,7,1
2787.38,Debit Card,Sports,1,60,Tablet,0,479,15,19,Wednesday,11,0
3920.57,PayPal,Beauty,2,18,Tablet,0,303,8,21,Monday,10,1
3323.25,COD,Beauty,1,32,Desktop,0,677,9,27,Wednesday,5,1
2034.9,Credit Card,Groceries,4,24,Tablet,0,1690,11,15,Friday,2,1
4071.03,Credit Card,Clothing,2,51,Tablet,0,1774,21,11,Saturday,12,1
839.03,Debit Card,Beauty,1,32,Desktop,0,167,22,7,Wednesday,1,1
118.45,Debit Card,Electronics,3,35,Mobile,0,399,6,13,Sunday,3,1
454.79,PayPal,Electronics,4,51,Mobile,0,142,6,13,Saturday,7,1
3613.18,Debit Card,Electronics,4,33,Mobile,0,1529,9,25,Monday,11,1
2312.08,PayPal,Home,1,36,Mobile,0,1646,4,26,Wednesday,2,1
810.55,Credit Card,Electronics,4,43,Tablet,0,1855,13,16,Thursday,3,1
2507.72,Debit Card,Home,2,24,Mobile,0,373,12,21,Monday,12,1
765.8,PayPal,Clothing,4,66,Mobile,0,1042,11,23,Tuesday,1,0
3483.12,Debit Card,Sports,3,69,Tablet,0,899,11,19,Saturday,3,1
2233.55,PayPal,Groceries,3,55,Desktop,0,1953,20,23,Saturday,1,0
1908.2,PayPal,Electronics,4,23,Mobile,0,1873,3,3,Monday,9,0
1511.05,Debit Card,Beauty,4,42,Tablet,0,1675,18,14,Friday,4,1
3153.26,Debit Card,Groceries,1,36,Tablet,0,425,13,21,Thursday,9,1
1812.25,COD,Clothing,3,26,Desktop,0,674,19,16,Saturday,1,1
442.81,COD,Home,1,63,Mobile,0,1563,13,23,Saturday,2,1
594.44,Credit Card,Sports,4,39,Desktop,0,1221,18,10,Sunday,2,1
4809.68,PayPal,Sports,3,51,Tablet,0,1173,14,29,Sunday,1,1
4543.36,Debit Card,Groceries,1,53,Tablet,0,160,17,4,Saturday,1,1
3500.04,Credit Card,Sports,2,34,Desktop,0,817,9,24,Tuesday,3,1
1333.02,PayPal,Clothing,4,36,Tablet,0,1950,21,22,Tuesday,11,1
4846.04,Credit Card,Sports,3,68,Tablet,0,923,6,3,Saturday,7,1
3894.86,Debit Card,Sports,1,60,Mobile,0,1767,17,8,Friday,10,1
3585.87,PayPal,Home,4,44,Desktop,0,826,7,29,Saturday,2,1
2249.56,COD,Home,3,45,Desktop,0,1696,18,21,Tuesday,11,1
1364.85,Debit Card,Home,1,18,Tablet,0,1656,20,24,Sunday,12,0
486.47,COD,Electronics,2,28,Desktop,0,1247,4,26,Tuesday,8,1
4513.5,COD,Sports,4,18,Tablet,0,1629,15,1,Saturday,10,1
2281.6,Debit Card,Beauty,2,59,Desktop,0,105,12,26,Wednesday,5,1
1015.81,Credit Card,Sports,1,66,Mobile,0,753,9,22,Monday,3,1
1533.25,PayPal,Electronics,3,26,Desktop,0,187,6,8,Saturday,11,1
2898.2,Credit Card,Beauty,4,32,Tablet,0,1397,14,10,Sunday,2,1
887.98,COD,Groceries,3,36,Tablet,0,591,19,12,Sunday,5,1
4283.79,Debit Card,Beauty,4,60,Desktop,1,1068,8,19,Monday,1,1
3793.81,COD,Sports,1,39,Mobile,0,1686,8,9,Thursday,4,1
3598.72,PayPal,Sports,3,20,Mobile,0,1498,20,9,Wednesday,10,1
2163.3,Debit Card,Sports,3,48,Mobile,0,1336,18,17,Wednesday,9,1
3138.41,COD,Electronics,4,25,Mobile,0,109,17,22,Wednesday,11,1
2922.57,COD,Clothing,3,51,Tablet,0,1236,14,13,Monday,10,1
3250.98,COD,Clothing,4,62,Desktop,0,678,2,6,Thursday,7,1
426.8,Credit Card,Home,1,21,Desktop,0,1979,3,4,Monday,12,1
2081.96,Debit Card,Sports,1,69,Tablet,0,678,1,26,Tuesday,7,0
212.86,COD,Beauty,3,52,Desktop,0,1501,7,15,Saturday,8,0
2472.48,COD,Home,1,20,Tablet,0,1197,0,3,Monday,6,1
1652.66,Debit Card,Beauty,4,29,Desktop,0,677,11,12,Friday,4,0
726.9,Credit Card,Clothing,1,26,Mobile,0,423,0,1,Saturday,10,1
521.5,Debit Card,Home,3,63,Tablet,0,527,23,7,Sunday,12,1
2940.28,PayPal,Home,2,55,Tablet,0,1068,11,4,Friday,11,1
857.11,PayPal,Clothing,3,37,Tablet,0,1773,0,28,Sunday,9,1
4625.97,COD,Home,3,45,Mobile,0,1959,4,12,Thursday,4,1
2907.4,Credit Card,Sports,2,36,Mobile,0,636,4,6,Sunday,10,0
1737.61,Debit Card,Beauty,2,39,Mobile,0,96,16,20,Saturday,11,1
2956.62,Debit Card,Sports,3,51,Tablet,0,449,18,30,Sunday,6,1
118.91,COD,Beauty,3,28,Tablet,0,1011,11,15,Sunday,3,1
4793.0,Credit Card,Groceries,3,57,Mobile,0,809,17,6,Friday,8,1
2414.11,Credit Card,Electronics,2,67,Mobile,0,285,2,15,Tuesday,3,1
3914.76,Debit Card,Sports,2,68,Tablet,0,354,7,19,Monday,12,0
